Sample_ID,Animal,Antibody,Treatment,Compartment,Perimeter,Area,Feret_diameter,N_particles_total,N_particles_within,Density
E2,GA2,GLUT,Control,Microglia,3852.591954019517,445125.1200000001,1481.585667452274,17.0,17.0,38.19150894022786
E2,GA2,GLUT,Control,Microglia,6861.931430279317,1351345.545,2306.468133315524,65.0,65.0,48.100206672158
E2,GA2,GLUT,Control,Microglia,5135.951205049843,574869.79,1772.487791213243,30.0,30.0,52.18573061562341
E2,GA2,GLUT,Control,Microglia,1494.110035592723,86827.18000000001,666.2668309318723,4.0,4.0,46.06852370421336
E2,GA2,GLUT,Control,Microglia,1730.999078398873,130988.55,707.6112845341007,4.0,4.0,30.53702022046965
E2,GA2,GLUT,Control,Microglia,4508.964707299959,449947.5750000001,1734.708719064962,30.0,30.0,66.67443423825542
E2,GA2,GLUT,Control,Microglia,4452.998613378672,424924.17,1648.9,28.0,28.0,65.89411000085028
E2,GA2,GLUT,Control,Microglia,3959.868449101129,375886.5000000001,1763.193976849967,10.0,10.0,26.60377534175874
E2,GA2,GLUT,Control,Microglia,5819.349565796575,602611.4600000001,2669.291831179199,30.0,29.0,48.12387736535909
E2,GA2,GLUT,Control,Microglia,5057.056826265762,471463.1900000001,2190.299990868831,32.0,32.0,67.87380367913771
E2,GA2,GLUT,Control,Microglia,1294.296834641562,109276.915,527.6343525586635,7.0,7.0,64.05744525273246
E2,GA2,GLUT,Control,Microglia,1752.644934068629,197684.96,598.1461777859992,9.0,9.0,45.52698394455501
E2,GA2,GLUT,Control,Microglia,3969.918627200426,480506.7300000001,1615.549519513407,15.0,15.0,31.21704455627499
E2,GA2,GLUT,Control,Microglia,4301.947842611145,328649.915,1403.556033794162,19.0,19.0,57.81227723731496
E2,GA2,GLUT,Control,Microglia,1601.854329595966,103844.62,651.0308902041438,5.0,5.0,48.14885932463328
E2,GA2,GLUT,Control,Microglia,4489.905782387421,422945.8200000001,1761.350419422552,17.0,17.0,40.19427358331617
E2,GA2,GLUT,Control,Microglia,2410.373122465408,344203.86,850.9450981115058,11.0,11.0,31.95780547028147
E2,GA2,GLUT,Control,Microglia,1494.401366661107,93432.57000000002,632.9656546764603,5.0,5.0,53.51452924820541
E2,GA2,GLUT,Control,Microglia,,,,,,44.41041249252643
E3,GA3,GLUT,Control,Microglia,4300.766805978068,604370.8,1777.104386354386,15.0,15.0,24.81920039816616
E3,GA3,GLUT,Control,Microglia,2105.848938689478,223528.14,677.4687372860832,11.0,11.0,49.21080629937688
E3,GA3,GLUT,Control,Microglia,2284.570605642295,193340.455,794.8403927833563,4.0,4.0,20.68889307206813
E3,GA3,GLUT,Control,Microglia,5353.314441170166,382388.4350000001,1146.371532270407,10.0,10.0,26.15141851766516
E3,GA3,GLUT,Control,Microglia,2190.49742676395,116240.465,959.8267447826196,3.0,3.0,25.80856847054079
E3,GA3,GLUT,Control,Microglia,2854.543017760067,163357.865,1076.431920745571,5.0,5.0,30.60764781665088
E3,GA3,GLUT,Control,Microglia,4906.669797753892,547505.6400000001,1392.165927610642,14.0,14.0,25.57051284439736
E3,GA3,GLUT,Control,Microglia,5081.040725362193,473942.4800000001,1686.269503964298,8.0,8.0,16.87968548419631
E3,GA3,GLUT,Control,Microglia,3423.663521054812,396701.5250000001,1228.900878834416,5.0,5.0,12.60393440635248
E3,GA3,GLUT,Control,Microglia,3217.072633564842,302747.4450000001,1448.914221063483,18.0,18.0,59.45549763434006
E3,GA3,GLUT,Control,Microglia,6642.718087032376,581905.3350000001,2409.273477627644,5.0,5.0,8.592462896048202
E3,GA3,GLUT,Control,Microglia,6486.559668193681,507125.5200000001,2326.432126669506,25.0,25.0,49.29745992668639
E3,GA3,GLUT,Control,Microglia,6996.588956905331,377028.1350000001,2260.2976551773,25.0,25.0,66.30804886749365
E3,GA3,GLUT,Control,Microglia,3546.901191603168,473203.1700000001,1244.104376650127,4.0,4.0,8.453028748729642
E3,GA3,GLUT,Control,Microglia,5969.201836728407,659487.5100000001,2354.285777045769,34.0,34.0,51.55518411561728
E3,GA3,GLUT,Control,Microglia,1156.98635710786,58985.68500000001,520.9612077688703,2.0,2.0,33.90653172884234
E3,GA3,GLUT,Control,Microglia,1772.689165148896,158868.765,708.7978696356247,6.0,6.0,37.76702110071794
E3,GA3,GLUT,Control,Microglia,3313.765917946268,231570.405,1267.324603248907,14.0,14.0,60.45677555385369
E3,GA3,GLUT,Control,Microglia,2329.749796406322,171482.41,822.8264701624518,4.0,4.0,23.32600760626119
E3,GA3,GLUT,Control,Microglia,14241.07023049488,1326916.25,2625.127587375517,26.0,26.0,19.59430370982343
E3,GA3,GLUT,Control,Microglia,5949.163502315157,426133.5650000001,1979.953555010824,8.0,8.0,18.77345662738395
E3,GA3,GLUT,Control,Microglia,4738.504753537007,333290.2650000001,1409.509113131235,6.0,6.0,18.0023259905296
E3,GA3,GLUT,Control,Microglia,2403.791148446559,284025.72,833.9436551710195,5.0,5.0,17.60403952149122
E3,GA3,GLUT,Control,Microglia,1108.235345415021,54415.51500000001,484.0312489912196,3.0,3.0,55.13133524510427
E3,GA3,GLUT,Control,Microglia,2692.964464006775,221677.445,1023.667470421914,6.0,6.0,27.06635309695129
E3,GA3,GLUT,Control,Microglia,6607.108934980742,629677.3450000001,1849.650572405502,11.0,11.0,17.46926435792286
E3,GA3,GLUT,Control,Microglia,2591.913442081479,232281.885,781.8965276812528,5.0,5.0,21.52557010633868
E3,GA3,GLUT,Control,Microglia,1824.565093453607,91704.08500000002,582.3157305105195,5.0,5.0,54.52319817595911
E3,GA3,GLUT,Control,Microglia,1198.983965091699,51992.49000000001,429.0000000000001,2.0,2.0,38.46709399761388
E3,GA3,GLUT,Control,Microglia,4020.74696653403,740702.7100000001,1375.329960409501,26.0,26.0,35.10180217917658
E3,GA3,GLUT,Control,Microglia,,,,,,31.823914283209987
E4,GA4,GLUT,Control,Microglia,2953.912044977134,361383.4400000001,1035.591434881537,3.0,3.0,8.301431853103173
E4,GA4,GLUT,Control,Microglia,3970.270560849852,328602.1200000001,1695.486847486586,5.0,5.0,15.215970000437
E4,GA4,GLUT,Control,Microglia,3682.910336025426,341201.2450000001,1539.340251536352,4.0,4.0,11.723286648617
E4,GA4,GLUT,Control,Microglia,6122.413536307889,667363.4000000001,2576.095023480307,10.0,10.0,14.98433986640562
E4,GA4,GLUT,Control,Microglia,3280.53852621047,285410.5650000001,1232.063837631801,5.0,5.0,17.51862269008857
E4,GA4,GLUT,Control,Microglia,3546.85863397886,356681.985,1308.140978641064,6.0,5.0,14.01808953149119
E4,GA4,GLUT,Control,Microglia,3580.941032657316,314898.2650000001,1184.463021795109,4.0,4.0,12.70251520757029
E4,GA4,GLUT,Control,Microglia,1035.948856915427,57132.57000000001,383.6114961780995,0.0,0.0,0.0
E4,GA4,GLUT,Control,Microglia,1817.048114165892,205798.01,774.0163111976389,3.0,3.0,14.57740043258922
E4,GA4,GLUT,Control,Microglia,2298.144449832082,174966.0,1033.995319138341,8.0,8.0,45.72316907284843
E4,GA4,GLUT,Control,Microglia,4612.983249422993,949403.51,1618.428994426385,31.0,30.0,31.59878774831999
E4,GA4,GLUT,Control,Microglia,10418.18790969262,1333400.035,2789.835301590401,31.0,31.0,23.24883694787063
E4,GA4,GLUT,Control,Microglia,7693.603917176657,1819637.325,2971.511911468639,28.0,28.0,15.38768171838858
E4,GA4,GLUT,Control,Microglia,9832.839523000725,1717398.375,2698.847029751779,40.0,40.0,23.29104334921709
E4,GA4,GLUT,Control,Microglia,6136.97576481933,1466780.755,2608.768218910986,39.0,39.0,26.58884081145447
E4,GA4,GLUT,Control,Microglia,5376.857996634622,1603253.025,1723.854779266514,40.0,40.0,24.94927461621349
E4,GA4,GLUT,Control,Microglia,1718.029064843875,141463.52,676.42845150097,3.0,3.0,21.20688075625433
E4,GA4,GLUT,Control,Microglia,2077.502153169613,235027.98,736.802958734559,11.0,11.0,46.80293810124223
E4,GA4,GLUT,Control,Microglia,1578.333084681138,71148.60500000001,668.9854183762155,2.0,2.0,28.11017868867562
E4,GA4,GLUT,Control,Microglia,2078.184054356582,267023.405,784.5591437234035,4.0,4.0,14.97996027726483
E4,GA4,GLUT,Control,Microglia,1939.990810147796,238543.635,735.8704029922661,4.0,4.0,16.76842058686663
E4,GA4,GLUT,Control,Microglia,7779.892277345924,1347742.77,2561.135695350795,17.0,17.0,12.61368295079038
E4,GA4,GLUT,Control,Microglia,3443.721137242294,177567.5,1619.025500108013,2.0,2.0,11.2633223985245
E4,GA4,GLUT,Control,Microglia,5017.186849342959,806424.4650000001,2226.758938457417,19.0,19.0,23.56079313640367
E4,GA4,GLUT,Control,Microglia,2462.636123536674,261957.74,990.4997627460594,4.0,4.0,15.26963853024537
E4,GA4,GLUT,Control,Microglia,,,,,,19.61620423683529
F1,LPS1,GLUT,LPS,Microglia,3417.95542137225,563225.3550000001,1345.999572808253,9.0,9.0,15.97939425152477
