Sample_ID,Animal,Antibody,Treatment,Compartment,Perimeter,Area,Feret_diameter,N_particles_total,N_particles_within,Density
F1,LPS1,GLUT,LPS,Spine,1108.642472405461,76033.98000000001,453.1105494247514,2.0,2.0,26.3040288039637
F1,LPS1,GLUT,LPS,Spine,1244.858682989022,98674.29000000001,479.874921203432,0.0,0.0,0.0
F1,LPS1,GLUT,LPS,Spine,1206.497825212162,92695.68000000001,478.2268185704353,1.0,1.0,10.78798925688878
F1,LPS1,GLUT,LPS,Spine,1583.712153069226,157126.365,646.1430337007434,4.0,4.0,25.45721718948949
F1,LPS1,GLUT,LPS,Spine,1746.097975846029,172443.15,726.3898953041679,3.0,3.0,17.39703780637271
F1,LPS1,GLUT,LPS,Spine,,,,,,13.247906692945332
F1,LPS1,GLUT,LPS,Microglia,3417.95542137225,563225.3550000001,1345.999572808253,9.0,9.0,15.97939425152477
F1,LPS1,GLUT,LPS,Microglia,8009.764809793658,1022554.665,2865.494721684198,41.0,41.0,40.09565591292862
F1,LPS1,GLUT,LPS,Microglia,8835.245090799588,1130839.38,2720.259077735061,48.0,48.0,42.44634635910893
F1,LPS1,GLUT,LPS,Microglia,4952.046758511634,558945.5850000001,1888.51420169402,21.0,21.0,37.57074134506313
F1,LPS1,GLUT,LPS,Microglia,4119.567401086037,516746.8350000001,1622.264694801684,25.0,24.0,46.44440637938305
F1,LPS1,GLUT,LPS,Microglia,1780.691599446396,175476.015,756.5929222507967,8.0,8.0,45.59027625513378
F1,LPS1,GLUT,LPS,Microglia,4295.395627989446,507256.2000000001,1651.652472525622,21.0,21.0,41.39919827495454
F1,LPS1,GLUT,LPS,Microglia,6066.877366393463,478125.4500000001,2301.579079675517,11.0,11.0,23.00651429452249
F1,LPS1,GLUT,LPS,Microglia,5911.5072253913,586018.1250000001,1948.098757763579,18.0,18.0,30.71577350956508
F1,LPS1,GLUT,LPS,Microglia,2767.101812745214,230492.295,1075.708891847604,10.0,10.0,43.38539819736707
F1,LPS1,GLUT,LPS,Microglia,2542.826913342662,290360.0700000001,1050.172828633459,14.0,14.0,48.21599609064703
F1,LPS1,GLUT,LPS,Microglia,804.2511347949736,41643.36000000001,309.0393178868993,0.0,0.0,0.0
F1,LPS1,GLUT,LPS,Microglia,2016.533631356346,90420.27500000001,836.3856347403391,7.0,7.0,77.4162653232364
F1,LPS1,GLUT,LPS,Microglia,3205.983398969986,262399.9950000001,937.5833722928325,16.0,16.0,60.97561091798038
F1,LPS1,GLUT,LPS,Microglia,2628.500302908064,228385.08,1232.668167026309,9.0,9.0,39.40712764599158
F1,LPS1,GLUT,LPS,Microglia,3682.068043491115,442275.5700000001,1481.137643840032,10.0,10.0,22.61033771320446
F1,LPS1,GLUT,LPS,Microglia,1116.589306224529,78397.11000000002,438.9124058397074,3.0,3.0,38.26671671953213
F1,LPS1,GLUT,LPS,Microglia,1238.073636619412,62612.05500000001,489.2131743933314,4.0,4.0,63.88546103462025
F1,LPS1,GLUT,LPS,Microglia,1672.161834472356,186556.59,564.2614021887374,12.0,12.0,64.32364570986208
F1,LPS1,GLUT,LPS,Microglia,,,,,,41.143940312348725
F2,LPS2,GLUT,LPS,GLUT_terminals,1857.131243832143,167232.285,805.6461878517146,6.0,6.0,35.87823965928587
F2,LPS2,GLUT,LPS,GLUT_terminals,2384.714619206055,181699.65,1086.241506295907,8.0,8.0,44.02870341247217
F2,LPS2,GLUT,LPS,GLUT_terminals,1876.405822292567,235855.62,691.9069951951635,7.0,7.0,29.6791740642008
F2,LPS2,GLUT,LPS,GLUT_terminals,1786.30330243828,171784.305,649.1948012730847,7.0,7.0,40.7487750408863
F2,LPS2,GLUT,LPS,GLUT_terminals,1199.944765002055,71569.08000000002,460.1577555578087,4.0,4.0,55.89005754999225
F2,LPS2,GLUT,LPS,GLUT_terminals,1425.739268225031,116054.73,483.4246580388717,6.0,6.0,51.69974545630323
F2,LPS2,GLUT,LPS,GLUT_terminals,2531.294327763409,224845.83,1052.736206273918,10.0,10.0,44.47491865870938
F2,LPS2,GLUT,LPS,GLUT_terminals,2774.145712966138,338695.3350000001,881.1061797536095,21.0,21.0,62.00262545688737
F2,LPS2,GLUT,LPS,GLUT_terminals,2994.733508171457,471362.7600000001,1044.855253133179,23.0,23.0,48.79469052667631
F2,LPS2,GLUT,LPS,GLUT_terminals,1780.846133795326,107114.04,746.004396769885,5.0,5.0,46.67922151008401
F2,LPS2,GLUT,LPS,GLUT_terminals,1403.285728197,102894.165,559.4935656466481,4.0,4.0,38.87489635588179
F2,LPS2,GLUT,LPS,GLUT_terminals,1725.910187853806,153456.435,627.3906677661057,3.0,3.0,19.54952231230968
F2,LPS2,GLUT,LPS,GLUT_terminals,1348.392933124795,122659.515,544.8598810703538,7.0,7.0,57.06854458049992
F2,LPS2,GLUT,LPS,GLUT_terminals,1283.73097205658,106618.545,502.641024987018,8.0,8.0,75.03385081835434
F2,LPS2,GLUT,LPS,GLUT_terminals,1714.836621362708,146339.82,647.9859026244321,6.0,6.0,41.00046043517068
F2,LPS2,GLUT,LPS,GLUT_terminals,2498.333462420609,248297.445,752.4072368073024,10.0,10.0,40.27427668456274
F2,LPS2,GLUT,LPS,GLUT_terminals,2827.819666635576,228227.175,1196.075883880283,14.0,14.0,61.34238834617305
F2,LPS2,GLUT,LPS,GLUT_terminals,1592.597150907727,147064.005,642.695651144459,7.0,7.0,47.5983229206902
F2,LPS2,GLUT,LPS,GLUT_terminals,1550.539652422469,80596.89000000001,679.9361514142339,2.0,2.0,24.81485327783739
F2,LPS2,GLUT,LPS,GLUT_terminals,1542.268245329027,162718.38,560.8543928685948,9.0,9.0,55.31028516876826
F2,LPS2,GLUT,LPS,GLUT_terminals,3149.441575746657,202445.1,1038.624869719573,9.0,9.0,44.4564970947679
F2,LPS2,GLUT,LPS,GLUT_terminals,,,,,,45.96190711097684
F2,LPS2,GLUT,LPS,GABA_terminals,2796.506450001713,229904.235,1264.007697761371,5.0,5.0,21.74818571741403
F2,LPS2,GLUT,LPS,GABA_terminals,942.8139095606589,55255.86000000001,390.2520339472941,2.0,2.0,36.19525603257283
F2,LPS2,GLUT,LPS,GABA_terminals,1348.442617569696,109030.68,449.8179631806627,5.0,5.0,45.85865189504458
F2,LPS2,GLUT,LPS,GABA_terminals,844.5982001945101,30442.99500000001,368.3308567035892,0.0,0.0,0.0
