folder,animal,treatment,antibody,image,profile_id,density,area_um2,n_particles,dist_to_symmetric_nm,dist_to_asymmetric_nm,closer_terminal,distance_diff_nm,n_symmetric_terminals,n_asymmetric_terminals
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv45.tif,383,36.55038691051694,0.2735949150000001,10,56.95212564412857,21.736979172320897,asymmetric,-35.21514647180767,1,2
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv33.tif,376,37.25076329142157,0.590591925,22,405.18840062370987,424.4831445416886,symmetric,19.294743917978735,1,1
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv32.tif,375,19.105227312466145,0.26170848,5,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv58.tif,389,18.814298452909643,0.47835958500000003,9,,,none,,0,0
F2 iba glut LPS2 hippo,LPS2,LPS,GLUT,Tv52.tif,387,38.539951870418726,0.337312305,13,0.0,14.137454064542856,symmetric,14.137454064542856,2,2
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv40.tif,483,15.550781465645592,0.25722180000000017,4,165.0,421.21239298007373,symmetric,256.21239298007373,1,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv41.tif,484,7.861931896801135,0.25439040000000007,2,0.0,148.49999999999991,symmetric,148.49999999999991,1,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv37.tif,479,38.56312262571673,0.15558906000000006,6,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv36.tif,478,26.05585998570966,0.15351633000000003,4,65.9574437554263,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv74.tif,490,33.825348394746214,0.059127255000000004,2,,0.0,asymmetric,,0,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv75.tif,491,25.317718377346925,0.039498029999999996,1,,921.2912080335946,asymmetric,,0,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv21.tif,464,27.659050450046557,0.32539078,9,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv14.tif,460,19.196317992638463,0.15627997000000005,3,0.0,,symmetric,,1,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv15.tif,461,12.71859387677606,0.31450017500000005,4,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv6.tif,488,1.9786116042800528,0.5054049000000002,1,,,none,,0,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv18.tif,462,71.42007116474441,0.168019995,12,5.602572938339214,,symmetric,,3,0
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv27.tif,470,13.976167817136425,0.9301548299999999,13,,221.82393919502917,asymmetric,,0,1
J1 iba gaba GA1 hippo,GA1,Control,GABA,Tv26.tif,469,29.473132390756362,0.10178762,3,513.7565279390619,,symmetric,,1,0
