folder,animal,treatment,antibody,compartment,image,image_normalized,profile_id,centroid_x,centroid_y,area_nm2,area_um2,n_particles,density
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv29.tif,Tv29.tif,629,963.3308045315551,1822.5613242611962,178723.05000000008,0.17872305000000008,29,162.2622263888177
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv55.tif,Tv55.tif,642,769.2094466049243,154.85803820303013,215312.24000000005,0.21531224000000004,57,264.7318145963276
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv23.tif,Tv23.tif,627,289.4918720984949,192.3412593146654,229711.24000000002,0.22971124,55,239.43103524233294
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv50.tif,Tv50.tif,639,1192.807973448542,1338.9737132938496,105726.77499999998,0.10572677499999998,25,236.45855082593795
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv45.tif,Tv45.tif,632,1023.7786128905483,1045.3070366186153,196536.06499999997,0.19653606499999998,33,167.9081139637145
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv58.tif,Tv58.tif,644,697.7634408159261,1422.5190237022916,470025.1050000001,0.4700251050000001,107,227.64741470564636
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv3.tif,Tv3.tif,630,155.67642594783715,1961.5190971970694,150329.19000000003,0.15032919000000003,40,266.0827215260056
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv2.tif,Tv2.tif,626,1126.2817185193162,1485.2556586924425,89880.01000000001,0.08988001000000001,31,344.9042784930709
J2 iba gaba GA2 hippo,GA2,Control,GABA,gaba_terminal,Tv53.tif,Tv53.tif,641,353.91562880846067,1141.6283318493583,370996.89,0.37099689,80,215.63523079667863
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv10.tif,Tv10.tif,602,1501.9411080547359,1207.353293289336,110190.46500000004,0.11019046500000004,1,9.075195390091144
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv40.tif,Tv40.tif,620,268.5988700144547,366.36664885208717,89430.49500000002,0.08943049500000003,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv36.tif,Tv36.tif,618,582.4819127846906,1840.1291549873692,81586.67000000001,0.08158667000000001,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv24.tif,Tv24.tif,617,579.7488397073345,1196.443360008153,146440.85500000004,0.14644085500000004,1,6.828695448411577
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv21.tif,Tv21.tif,615,748.2019939379784,1018.0052712008943,214972.83500000002,0.21497283500000003,2,9.303501067937257
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv14.tif,Tv14.tif,607,1454.8158795289587,733.6459054441834,81241.82000000002,0.08124182000000002,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv15.tif,Tv15.tif,609,1991.9882120556495,1273.5284066841944,88363.88000000003,0.08836388000000003,2,22.63368245034056
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv51.tif,Tv51.tif,624,237.7056929675756,438.02543271684135,146222.45000000007,0.14622245000000006,3,20.516685365345737
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv18.tif,Tv18.tif,614,381.91805325441334,944.879498943205,339960.995,0.339960995,5,14.707569613978805
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv13.tif,Tv13.tif,603,1689.6803252161917,1545.7677065096286,83626.73,0.08362673,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv17.tif,Tv17.tif,613,1012.1740759163284,2028.8028491354196,75410.83000000002,0.07541083000000001,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv46.tif,Tv46.tif,622,2018.878617181282,1787.964581409407,252879.11,0.25287910999999996,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv13.tif,Tv13.tif,606,413.7942751769153,1097.687005290763,105697.735,0.105697735,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv13.tif,Tv13.tif,605,2150.8126654180433,2013.658864981517,82047.68,0.08204768,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv17.tif,Tv17.tif,612,1165.2386229885055,1774.2416704980842,52634.99999999998,0.05263499999999998,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv5.tif,Tv5.tif,623,1544.0868046339926,1245.6158800300109,175520.785,0.175520785,2,11.394661891467726
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv51.tif,Tv51.tif,625,1039.7782950784424,485.00980305045096,198820.54499999998,0.198820545,1,5.029661295818297
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv39.tif,Tv39.tif,619,1822.2944694766009,899.737747713203,98800.43331099195,0.09880043331099195,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv14.tif,Tv14.tif,608,1374.404520155807,1547.0856818142304,266788.6650000001,0.2667886650000001,1,3.7482851829555788
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv15.tif,Tv15.tif,610,1072.902864877701,1373.336362542547,63691.37500000001,0.06369137500000001,0,0.0
J2 iba gaba GA2 hippo,GA2,Control,GABA,glut_terminal,Tv45.tif,Tv45.tif,621,2114.0031913450575,1009.8420612312987,110016.82999999999,0.11001682999999998,0,0.0
